source_id	canonical_id	review_status	notes
102KP-HG	phagehostlearn_2024_host_102KP-HG	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
1210	phagehostlearn_2024_host_1210	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
132	phagehostlearn_2024_host_132	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
1446	phagehostlearn_2024_host_1446	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
1468	phagehostlearn_2024_host_1468	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
156KP-HG	phagehostlearn_2024_host_156KP-HG	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
1572	phagehostlearn_2024_host_1572	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
159KP-HG	phagehostlearn_2024_host_159KP-HG	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
191KP-HG	phagehostlearn_2024_host_191KP-HG	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
201KP-HG	phagehostlearn_2024_host_201KP-HG	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
205KP-HG	phagehostlearn_2024_host_205KP-HG	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
2164	phagehostlearn_2024_host_2164	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
218KP-HG	phagehostlearn_2024_host_218KP-HG	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
225KP-HG	phagehostlearn_2024_host_225KP-HG	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
228	phagehostlearn_2024_host_228	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
234KP-HG	phagehostlearn_2024_host_234KP-HG	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
242KP-HG	phagehostlearn_2024_host_242KP-HG	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
245	phagehostlearn_2024_host_245	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
255KP-HG	phagehostlearn_2024_host_255KP-HG	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
268KP-HG	phagehostlearn_2024_host_268KP-HG	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
33KP-HG	phagehostlearn_2024_host_33KP-HG	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
34KP-HG	phagehostlearn_2024_host_34KP-HG	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
406	phagehostlearn_2024_host_406	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
42KP-HG	phagehostlearn_2024_host_42KP-HG	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
48KP-HG	phagehostlearn_2024_host_48KP-HG	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
52KP-HG	phagehostlearn_2024_host_52KP-HG	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
62KP-HG	phagehostlearn_2024_host_62KP-HG	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
779	phagehostlearn_2024_host_779	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
806	phagehostlearn_2024_host_806	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
CU276	phagehostlearn_2024_host_CU276	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
CU293	phagehostlearn_2024_host_CU293	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
CU371	phagehostlearn_2024_host_CU371	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
CU402	phagehostlearn_2024_host_CU402	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
CU406	phagehostlearn_2024_host_CU406	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
CU443	phagehostlearn_2024_host_CU443	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
