source_id	canonical_id	review_status	notes
A1a	phagehostlearn_2024_phage_A1a	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
A1b	phagehostlearn_2024_phage_A1b	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
A1c	phagehostlearn_2024_phage_A1c	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
A1d	phagehostlearn_2024_phage_A1d	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
A1e	phagehostlearn_2024_phage_A1e	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
A1f	phagehostlearn_2024_phage_A1f	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
A1g	phagehostlearn_2024_phage_A1g	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
A1h	phagehostlearn_2024_phage_A1h	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
A1i	phagehostlearn_2024_phage_A1i	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
A1j	phagehostlearn_2024_phage_A1j	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
A1k	phagehostlearn_2024_phage_A1k	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
A1l	phagehostlearn_2024_phage_A1l	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
A1m	phagehostlearn_2024_phage_A1m	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
A1n	phagehostlearn_2024_phage_A1n	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
A1o	phagehostlearn_2024_phage_A1o	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
A1p	phagehostlearn_2024_phage_A1p	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
A1q	phagehostlearn_2024_phage_A1q	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
A1r	phagehostlearn_2024_phage_A1r	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
A2a	phagehostlearn_2024_phage_A2a	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
A2a_b	phagehostlearn_2024_phage_A2a_b	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
A2b	phagehostlearn_2024_phage_A2b	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
A3a	phagehostlearn_2024_phage_A3a	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
A3b	phagehostlearn_2024_phage_A3b	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
A3c	phagehostlearn_2024_phage_A3c	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
A3d	phagehostlearn_2024_phage_A3d	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
D7a	phagehostlearn_2024_phage_D7a	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
D7b	phagehostlearn_2024_phage_D7b	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
D7c	phagehostlearn_2024_phage_D7c	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K10PH82C1	phagehostlearn_2024_phage_K10PH82C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K11PH164C1	phagehostlearn_2024_phage_K11PH164C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K12P1_1	phagehostlearn_2024_phage_K12P1_1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K13PH07C1L	phagehostlearn_2024_phage_K13PH07C1L	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K13PH07C1S	phagehostlearn_2024_phage_K13PH07C1S	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K14PH164C1	phagehostlearn_2024_phage_K14PH164C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K15PH90	phagehostlearn_2024_phage_K15PH90	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K16PH164C3	phagehostlearn_2024_phage_K16PH164C3	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K17alfa61	phagehostlearn_2024_phage_K17alfa61	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K17alfa62	phagehostlearn_2024_phage_K17alfa62	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K18PH07C1	phagehostlearn_2024_phage_K18PH07C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K19PH14C4P1	phagehostlearn_2024_phage_K19PH14C4P1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K1PH164C1	phagehostlearn_2024_phage_K1PH164C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K1lambda5	phagehostlearn_2024_phage_K1lambda5	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K2064PH2	phagehostlearn_2024_phage_K2064PH2	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K2069PH1	phagehostlearn_2024_phage_K2069PH1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K2069PH2	phagehostlearn_2024_phage_K2069PH2	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
