hypothesis	split_strategy	contrast_name	model_name	baseline_model	metric	model_value	baseline_value	delta	interpretation
H1_spot_interaction_receptor_layer	cold_K_locus	rbpbase_increment_over_host_KO	rbpbase_plus_host_KO_rate	host_KO_rate	pooled_average_precision	0.028049	0.028049	0.000000	Model and baseline have equal pooled AP in this exploratory split.
H1_spot_interaction_receptor_layer	cold_K_locus	boundary_reviewed_rbpbase_increment_over_exact_rbpbase	rbpbase_boundary_reviewed_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.028049	0.028049	0.000000	Model and baseline have equal pooled AP in this exploratory split.
H1_spot_interaction_receptor_layer	cold_K_locus	boundary_reviewed_rbpbase_increment_over_host_KO	rbpbase_boundary_reviewed_plus_host_KO_rate	host_KO_rate	pooled_average_precision	0.028049	0.028049	0.000000	Model and baseline have equal pooled AP in this exploratory split.
H1_spot_interaction_receptor_layer	cold_K_locus	pharokka_increment_over_rbpbase	pharokka_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.028049	0.028049	0.000000	Model and baseline have equal pooled AP in this exploratory split.
H1_spot_interaction_receptor_layer	cold_K_locus	phold_increment_over_rbpbase	phold_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.028049	0.028049	0.000000	Model and baseline have equal pooled AP in this exploratory split.
H1_spot_interaction_receptor_layer	cold_K_locus	phold_new_increment_over_rbpbase	phold_new_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.028049	0.028049	0.000000	Model and baseline have equal pooled AP in this exploratory split.
H1_spot_interaction_receptor_layer	cold_K_locus	pharokka_phold_increment_over_rbpbase	pharokka_phold_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.028049	0.028049	0.000000	Model and baseline have equal pooled AP in this exploratory split.
H1_spot_interaction_receptor_layer	cold_K_locus	domain_module_increment_over_rbpbase	domain_module_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.028049	0.028049	0.000000	Model and baseline have equal pooled AP in this exploratory split.
H1_spot_interaction_receptor_layer	cold_K_locus	structural_module_increment_over_rbpbase	structural_module_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.028049	0.028049	0.000000	Model and baseline have equal pooled AP in this exploratory split.
H1_spot_interaction_receptor_layer	cold_K_locus	domain_structural_module_increment_over_rbpbase	domain_structural_module_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.028049	0.028049	0.000000	Model and baseline have equal pooled AP in this exploratory split.
H1_spot_interaction_receptor_layer	cold_K_locus	domain_structural_module_vs_genome_similarity	domain_structural_module_plus_host_KO_rate	genome_similarity_nearest_phage_host_KO_rate	pooled_average_precision	0.028049	0.133841	-0.105792	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_K_locus	ordered_domain_architecture_increment_over_unordered_domain_module	ordered_domain_architecture_plus_host_KO_rate	domain_module_plus_host_KO_rate	pooled_average_precision	0.028049	0.028049	0.000000	Model and baseline have equal pooled AP in this exploratory split.
H1_spot_interaction_receptor_layer	cold_K_locus	ordered_domain_structural_architecture_increment_over_unordered_module_identity	ordered_domain_structural_architecture_plus_host_KO_rate	domain_structural_module_plus_host_KO_rate	pooled_average_precision	0.028049	0.028049	0.000000	Model and baseline have equal pooled AP in this exploratory split.
H1_spot_interaction_receptor_layer	cold_K_locus	ordered_domain_structural_architecture_increment_over_rbpbase	ordered_domain_structural_architecture_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.028049	0.028049	0.000000	Model and baseline have equal pooled AP in this exploratory split.
H1_spot_interaction_receptor_layer	cold_K_locus	ordered_domain_structural_architecture_vs_genome_similarity	ordered_domain_structural_architecture_plus_host_KO_rate	genome_similarity_nearest_phage_host_KO_rate	pooled_average_precision	0.028049	0.133841	-0.105792	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_K_locus	union_increment_over_rbpbase	receptor_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.028049	0.028049	0.000000	Model and baseline have equal pooled AP in this exploratory split.
H1_spot_interaction_receptor_layer	cold_K_locus	boundary_reviewed_union_increment_over_exact_union	receptor_boundary_reviewed_plus_host_KO_rate	receptor_plus_host_KO_rate	pooled_average_precision	0.028049	0.028049	0.000000	Model and baseline have equal pooled AP in this exploratory split.
H1_spot_interaction_receptor_layer	cold_K_locus	boundary_reviewed_union_vs_genome_similarity	receptor_boundary_reviewed_plus_host_KO_rate	genome_similarity_nearest_phage_host_KO_rate	pooled_average_precision	0.028049	0.133841	-0.105792	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_K_locus	primary_receptor_union_vs_genome_similarity	receptor_plus_host_KO_rate	genome_similarity_nearest_phage_host_KO_rate	pooled_average_precision	0.028049	0.133841	-0.105792	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_host	rbpbase_increment_over_host_KO	rbpbase_plus_host_KO_rate	host_KO_rate	pooled_average_precision	0.044360	0.040386	0.003974	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_host	boundary_reviewed_rbpbase_increment_over_exact_rbpbase	rbpbase_boundary_reviewed_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.043848	0.044360	-0.000512	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_host	boundary_reviewed_rbpbase_increment_over_host_KO	rbpbase_boundary_reviewed_plus_host_KO_rate	host_KO_rate	pooled_average_precision	0.043848	0.040386	0.003462	Model has higher pooled AP than baseline in this exploratory split.
