hypothesis	split_strategy	model_name	prediction_rows	positive_rows	negative_rows	pooled_average_precision	pooled_roc_auc	pooled_balanced_accuracy_at_global_prevalence	pooled_brier_score	interpretation
H1_spot_interaction_receptor_layer	cold_K_locus	combined_receptor_boundary_reviewed_host_taxonomy_rate	10006	333	9673	0.028049	0.415342	0.424291	0.032234	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_K_locus	combined_receptor_host_taxonomy_rate	10006	333	9673	0.028049	0.415342	0.424291	0.032234	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_K_locus	genome_similarity_nearest_phage_host_KO_rate	10006	333	9673	0.133841	0.624969	0.627231	0.030497	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_K_locus	genome_similarity_nearest_phage_rate	10006	333	9673	0.133841	0.624969	0.627231	0.030497	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_K_locus	global_prevalence	10006	333	9673	0.028049	0.415342	0.424291	0.032234	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_K_locus	host_KO_rate	10006	333	9673	0.028049	0.415342	0.424291	0.032234	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_K_locus	host_K_type_rate	10006	333	9673	0.028049	0.415342	0.424291	0.032234	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_K_locus	host_marginal_rate	10006	333	9673	0.028049	0.415342	0.424291	0.032234	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_K_locus	phage_marginal_rate	10006	333	9673	0.143466	0.584772	0.610897	0.030459	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_K_locus	pharokka_phold_plus_host_KO_rate	10006	333	9673	0.028049	0.415342	0.424291	0.032234	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_K_locus	pharokka_plus_host_KO_rate	10006	333	9673	0.028049	0.415342	0.424291	0.032234	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_K_locus	phold_new_plus_host_KO_rate	10006	333	9673	0.028049	0.415342	0.424291	0.032234	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_K_locus	phold_plus_host_KO_rate	10006	333	9673	0.028049	0.415342	0.424291	0.032234	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_K_locus	rbpbase_boundary_reviewed_plus_host_KO_rate	10006	333	9673	0.028049	0.415342	0.424291	0.032234	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_K_locus	rbpbase_plus_host_KO_rate	10006	333	9673	0.028049	0.415342	0.424291	0.032234	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_K_locus	receptor_boundary_reviewed_plus_host_KO_rate	10006	333	9673	0.028049	0.415342	0.424291	0.032234	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_K_locus	receptor_plus_host_KO_rate	10006	333	9673	0.028049	0.415342	0.424291	0.032234	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_K_locus	receptor_signature_rate	10006	333	9673	0.081487	0.598618	0.562125	0.030820	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_K_locus	taxonomy_cluster_rate	10006	333	9673	0.143300	0.592231	0.609344	0.030428	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_host	combined_receptor_boundary_reviewed_host_taxonomy_rate	10006	333	9673	0.256842	0.673459	0.603010	0.028607	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_host	combined_receptor_host_taxonomy_rate	10006	333	9673	0.256853	0.673617	0.603010	0.028607	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_host	genome_similarity_nearest_phage_host_KO_rate	10006	333	9673	0.258266	0.769684	0.749713	0.028006	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_host	genome_similarity_nearest_phage_rate	10006	333	9673	0.149764	0.675982	0.635996	0.030108	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_host	global_prevalence	10006	333	9673	0.027029	0.394376	0.396482	0.032286	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_host	host_KO_rate	10006	333	9673	0.040386	0.568342	0.513093	0.032521	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_host	host_K_type_rate	10006	333	9673	0.039928	0.575640	0.535645	0.032639	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_host	host_marginal_rate	10006	333	9673	0.027029	0.394376	0.396482	0.032286	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_host	phage_marginal_rate	10006	333	9673	0.156653	0.673421	0.652456	0.030027	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_host	pharokka_phold_plus_host_KO_rate	10006	333	9673	0.069625	0.639837	0.557870	0.031909	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_host	pharokka_plus_host_KO_rate	10006	333	9673	0.062626	0.623044	0.553279	0.032042	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_host	phold_new_plus_host_KO_rate	10006	333	9673	0.042975	0.568255	0.524165	0.032458	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_host	phold_plus_host_KO_rate	10006	333	9673	0.069625	0.639837	0.557870	0.031909	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_host	rbpbase_boundary_reviewed_plus_host_KO_rate	10006	333	9673	0.043848	0.581824	0.521054	0.032461	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_host	rbpbase_plus_host_KO_rate	10006	333	9673	0.044360	0.584027	0.520643	0.032430	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_host	receptor_boundary_reviewed_plus_host_KO_rate	10006	333	9673	0.080794	0.652013	0.573503	0.031671	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_host	receptor_plus_host_KO_rate	10006	333	9673	0.079508	0.654265	0.574224	0.031726	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_host	receptor_signature_rate	10006	333	9673	0.085798	0.596774	0.534554	0.030740	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_host	taxonomy_cluster_rate	10006	333	9673	0.156114	0.669757	0.642214	0.030033	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage	combined_receptor_boundary_reviewed_host_taxonomy_rate	10006	333	9673	0.048522	0.495864	0.468949	0.031913	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage	combined_receptor_host_taxonomy_rate	10006	333	9673	0.047270	0.494745	0.467236	0.031933	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage	genome_similarity_nearest_phage_host_KO_rate	10006	333	9673	0.186960	0.736322	0.714528	0.029550	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage	genome_similarity_nearest_phage_rate	10006	333	9673	0.083988	0.649516	0.615029	0.031449	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage	global_prevalence	10006	333	9673	0.030084	0.448342	0.449775	0.032198	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage	host_KO_rate	10006	333	9673	0.054113	0.650047	0.618215	0.032042	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage	host_K_type_rate	10006	333	9673	0.049762	0.635576	0.596591	0.032118	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage	host_marginal_rate	10006	333	9673	0.070774	0.668501	0.640600	0.031787	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage	phage_marginal_rate	10006	333	9673	0.030084	0.448342	0.449775	0.032198	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage	pharokka_phold_plus_host_KO_rate	10006	333	9673	0.135757	0.721647	0.639755	0.030672	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage	pharokka_plus_host_KO_rate	10006	333	9673	0.106936	0.703744	0.632046	0.031377	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage	phold_new_plus_host_KO_rate	10006	333	9673	0.060029	0.660681	0.605059	0.032034	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage	phold_plus_host_KO_rate	10006	333	9673	0.135757	0.721647	0.639755	0.030672	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage	rbpbase_boundary_reviewed_plus_host_KO_rate	10006	333	9673	0.069593	0.647041	0.602109	0.032104	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage	rbpbase_plus_host_KO_rate	10006	333	9673	0.071841	0.652594	0.601391	0.032005	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage	receptor_boundary_reviewed_plus_host_KO_rate	10006	333	9673	0.140811	0.683434	0.612918	0.030701	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage	receptor_plus_host_KO_rate	10006	333	9673	0.131389	0.688143	0.622399	0.030698	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage	receptor_signature_rate	10006	333	9673	0.085591	0.632557	0.594980	0.031121	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage	taxonomy_cluster_rate	10006	333	9673	0.030558	0.462571	0.447687	0.032288	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage_cluster	combined_receptor_boundary_reviewed_host_taxonomy_rate	10006	333	9673	0.029714	0.448633	0.449775	0.032198	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage_cluster	combined_receptor_host_taxonomy_rate	10006	333	9673	0.029714	0.448633	0.449775	0.032198	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage_cluster	genome_similarity_nearest_phage_host_KO_rate	10006	333	9673	0.195850	0.708836	0.686726	0.029583	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage_cluster	genome_similarity_nearest_phage_rate	10006	333	9673	0.084211	0.642997	0.628227	0.031450	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage_cluster	global_prevalence	10006	333	9673	0.029714	0.448633	0.449775	0.032198	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage_cluster	host_KO_rate	10006	333	9673	0.050279	0.631849	0.589224	0.032220	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage_cluster	host_K_type_rate	10006	333	9673	0.047378	0.624619	0.589908	0.032237	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
