host_genome_id	kaptive_sample_id	K_locus	K_type	K_confidence	O_locus	O_type	O_confidence	kaptive_source	notes	evidence_source
phagehostlearn_2024_host_102KP-HG	102KP-HG	KL151	unknown (KL151)	Typeable	OL4	O4	Typeable	Kaptive 3.2.1; K database=Klebsiella_k_locus_primary_reference; O database=Klebsiella_o_locus_primary_reference; host_archive_sha256=2859cfd259216608c41cfd0fda2a4a0659e17e61adf2fe856454a622e4200358; kaptive_k_sha256=21017022baf403d77c09d872b87d48221ad89c5474dd5b5ad0349b6e2234a1d0; kaptive_o_sha256=c91a41c0d4d326e972f3b3cfbe7e902e48efbc620325fb32ec80b550d19f6f89	review_status=reviewed; source_study=phagehostlearn_2024; evidence_scope=host_KO_typing; K_command=kaptive assembly Klebsiella_k_locus_primary_reference /tmp/cpg_host_typing_all/hosts/*.fasta -o /tmp/cpg_host_typing_all/kaptive/kaptive_k.tsv -j /tmp/cpg_host_typing_all/kaptive/kaptive_k.jsonl -t 8; O_command=kaptive assembly Klebsiella_o_locus_primary_reference /tmp/cpg_host_typing_all/hosts/*.fasta -o /tmp/cpg_host_typing_all/kaptive/kaptive_o.tsv -j /tmp/cpg_host_typing_all/kaptive/kaptive_o.jsonl -t 8; K_problems=NA; O_problems=NA	tool=Kaptive; tool_version=3.2.1; source=PhageHostLearn_2024_host_archive
phagehostlearn_2024_host_1210	1210	KL22	K22	Typeable	OL2α.1	O1αβ,2α	Typeable	Kaptive 3.2.1; K database=Klebsiella_k_locus_primary_reference; O database=Klebsiella_o_locus_primary_reference; host_archive_sha256=2859cfd259216608c41cfd0fda2a4a0659e17e61adf2fe856454a622e4200358; kaptive_k_sha256=21017022baf403d77c09d872b87d48221ad89c5474dd5b5ad0349b6e2234a1d0; kaptive_o_sha256=c91a41c0d4d326e972f3b3cfbe7e902e48efbc620325fb32ec80b550d19f6f89	review_status=reviewed; source_study=phagehostlearn_2024; evidence_scope=host_KO_typing; K_command=kaptive assembly Klebsiella_k_locus_primary_reference /tmp/cpg_host_typing_all/hosts/*.fasta -o /tmp/cpg_host_typing_all/kaptive/kaptive_k.tsv -j /tmp/cpg_host_typing_all/kaptive/kaptive_k.jsonl -t 8; O_command=kaptive assembly Klebsiella_o_locus_primary_reference /tmp/cpg_host_typing_all/hosts/*.fasta -o /tmp/cpg_host_typing_all/kaptive/kaptive_o.tsv -j /tmp/cpg_host_typing_all/kaptive/kaptive_o.jsonl -t 8; K_problems=NA; O_problems=NA	tool=Kaptive; tool_version=3.2.1; source=PhageHostLearn_2024_host_archive
phagehostlearn_2024_host_132	132	KL39	K39	Typeable	OL2α.1	O1αβ,2α	Typeable	Kaptive 3.2.1; K database=Klebsiella_k_locus_primary_reference; O database=Klebsiella_o_locus_primary_reference; host_archive_sha256=2859cfd259216608c41cfd0fda2a4a0659e17e61adf2fe856454a622e4200358; kaptive_k_sha256=21017022baf403d77c09d872b87d48221ad89c5474dd5b5ad0349b6e2234a1d0; kaptive_o_sha256=c91a41c0d4d326e972f3b3cfbe7e902e48efbc620325fb32ec80b550d19f6f89	review_status=reviewed; source_study=phagehostlearn_2024; evidence_scope=host_KO_typing; K_command=kaptive assembly Klebsiella_k_locus_primary_reference /tmp/cpg_host_typing_all/hosts/*.fasta -o /tmp/cpg_host_typing_all/kaptive/kaptive_k.tsv -j /tmp/cpg_host_typing_all/kaptive/kaptive_k.jsonl -t 8; O_command=kaptive assembly Klebsiella_o_locus_primary_reference /tmp/cpg_host_typing_all/hosts/*.fasta -o /tmp/cpg_host_typing_all/kaptive/kaptive_o.tsv -j /tmp/cpg_host_typing_all/kaptive/kaptive_o.jsonl -t 8; K_problems=?4; O_problems=?2	tool=Kaptive; tool_version=3.2.1; source=PhageHostLearn_2024_host_archive
phagehostlearn_2024_host_1446	1446	KL39	K39	Typeable	OL2α.1	O1αβ,2α	Typeable	Kaptive 3.2.1; K database=Klebsiella_k_locus_primary_reference; O database=Klebsiella_o_locus_primary_reference; host_archive_sha256=2859cfd259216608c41cfd0fda2a4a0659e17e61adf2fe856454a622e4200358; kaptive_k_sha256=21017022baf403d77c09d872b87d48221ad89c5474dd5b5ad0349b6e2234a1d0; kaptive_o_sha256=c91a41c0d4d326e972f3b3cfbe7e902e48efbc620325fb32ec80b550d19f6f89	review_status=reviewed; source_study=phagehostlearn_2024; evidence_scope=host_KO_typing; K_command=kaptive assembly Klebsiella_k_locus_primary_reference /tmp/cpg_host_typing_all/hosts/*.fasta -o /tmp/cpg_host_typing_all/kaptive/kaptive_k.tsv -j /tmp/cpg_host_typing_all/kaptive/kaptive_k.jsonl -t 8; O_command=kaptive assembly Klebsiella_o_locus_primary_reference /tmp/cpg_host_typing_all/hosts/*.fasta -o /tmp/cpg_host_typing_all/kaptive/kaptive_o.tsv -j /tmp/cpg_host_typing_all/kaptive/kaptive_o.jsonl -t 8; K_problems=NA; O_problems=NA	tool=Kaptive; tool_version=3.2.1; source=PhageHostLearn_2024_host_archive
phagehostlearn_2024_host_1468	1468	KL7	K7	Typeable	OL2α.2	O2β	Typeable	Kaptive 3.2.1; K database=Klebsiella_k_locus_primary_reference; O database=Klebsiella_o_locus_primary_reference; host_archive_sha256=2859cfd259216608c41cfd0fda2a4a0659e17e61adf2fe856454a622e4200358; kaptive_k_sha256=21017022baf403d77c09d872b87d48221ad89c5474dd5b5ad0349b6e2234a1d0; kaptive_o_sha256=c91a41c0d4d326e972f3b3cfbe7e902e48efbc620325fb32ec80b550d19f6f89	review_status=reviewed; source_study=phagehostlearn_2024; evidence_scope=host_KO_typing; K_command=kaptive assembly Klebsiella_k_locus_primary_reference /tmp/cpg_host_typing_all/hosts/*.fasta -o /tmp/cpg_host_typing_all/kaptive/kaptive_k.tsv -j /tmp/cpg_host_typing_all/kaptive/kaptive_k.jsonl -t 8; O_command=kaptive assembly Klebsiella_o_locus_primary_reference /tmp/cpg_host_typing_all/hosts/*.fasta -o /tmp/cpg_host_typing_all/kaptive/kaptive_o.tsv -j /tmp/cpg_host_typing_all/kaptive/kaptive_o.jsonl -t 8; K_problems=NA; O_problems=NA	tool=Kaptive; tool_version=3.2.1; source=PhageHostLearn_2024_host_archive
phagehostlearn_2024_host_156KP-HG	156KP-HG	KL13	K13	Typeable	OL3γ	O3γ	Typeable	Kaptive 3.2.1; K database=Klebsiella_k_locus_primary_reference; O database=Klebsiella_o_locus_primary_reference; host_archive_sha256=2859cfd259216608c41cfd0fda2a4a0659e17e61adf2fe856454a622e4200358; kaptive_k_sha256=21017022baf403d77c09d872b87d48221ad89c5474dd5b5ad0349b6e2234a1d0; kaptive_o_sha256=c91a41c0d4d326e972f3b3cfbe7e902e48efbc620325fb32ec80b550d19f6f89	review_status=reviewed; source_study=phagehostlearn_2024; evidence_scope=host_KO_typing; K_command=kaptive assembly Klebsiella_k_locus_primary_reference /tmp/cpg_host_typing_all/hosts/*.fasta -o /tmp/cpg_host_typing_all/kaptive/kaptive_k.tsv -j /tmp/cpg_host_typing_all/kaptive/kaptive_k.jsonl -t 8; O_command=kaptive assembly Klebsiella_o_locus_primary_reference /tmp/cpg_host_typing_all/hosts/*.fasta -o /tmp/cpg_host_typing_all/kaptive/kaptive_o.tsv -j /tmp/cpg_host_typing_all/kaptive/kaptive_o.jsonl -t 8; K_problems=?2; O_problems=NA	tool=Kaptive; tool_version=3.2.1; source=PhageHostLearn_2024_host_archive
phagehostlearn_2024_host_1572	1572	KL153	unknown (KL153)	Typeable	OL2α.2	O2β	Typeable	Kaptive 3.2.1; K database=Klebsiella_k_locus_primary_reference; O database=Klebsiella_o_locus_primary_reference; host_archive_sha256=2859cfd259216608c41cfd0fda2a4a0659e17e61adf2fe856454a622e4200358; kaptive_k_sha256=21017022baf403d77c09d872b87d48221ad89c5474dd5b5ad0349b6e2234a1d0; kaptive_o_sha256=c91a41c0d4d326e972f3b3cfbe7e902e48efbc620325fb32ec80b550d19f6f89	review_status=reviewed; source_study=phagehostlearn_2024; evidence_scope=host_KO_typing; K_command=kaptive assembly Klebsiella_k_locus_primary_reference /tmp/cpg_host_typing_all/hosts/*.fasta -o /tmp/cpg_host_typing_all/kaptive/kaptive_k.tsv -j /tmp/cpg_host_typing_all/kaptive/kaptive_k.jsonl -t 8; O_command=kaptive assembly Klebsiella_o_locus_primary_reference /tmp/cpg_host_typing_all/hosts/*.fasta -o /tmp/cpg_host_typing_all/kaptive/kaptive_o.tsv -j /tmp/cpg_host_typing_all/kaptive/kaptive_o.jsonl -t 8; K_problems=?2!; O_problems=NA	tool=Kaptive; tool_version=3.2.1; source=PhageHostLearn_2024_host_archive
phagehostlearn_2024_host_159KP-HG	159KP-HG	KL17	K17	Typeable	OL2α.1	O1αβ,2α	Typeable	Kaptive 3.2.1; K database=Klebsiella_k_locus_primary_reference; O database=Klebsiella_o_locus_primary_reference; host_archive_sha256=2859cfd259216608c41cfd0fda2a4a0659e17e61adf2fe856454a622e4200358; kaptive_k_sha256=21017022baf403d77c09d872b87d48221ad89c5474dd5b5ad0349b6e2234a1d0; kaptive_o_sha256=c91a41c0d4d326e972f3b3cfbe7e902e48efbc620325fb32ec80b550d19f6f89	review_status=reviewed; source_study=phagehostlearn_2024; evidence_scope=host_KO_typing; K_command=kaptive assembly Klebsiella_k_locus_primary_reference /tmp/cpg_host_typing_all/hosts/*.fasta -o /tmp/cpg_host_typing_all/kaptive/kaptive_k.tsv -j /tmp/cpg_host_typing_all/kaptive/kaptive_k.jsonl -t 8; O_command=kaptive assembly Klebsiella_o_locus_primary_reference /tmp/cpg_host_typing_all/hosts/*.fasta -o /tmp/cpg_host_typing_all/kaptive/kaptive_o.tsv -j /tmp/cpg_host_typing_all/kaptive/kaptive_o.jsonl -t 8; K_problems=NA; O_problems=NA	tool=Kaptive; tool_version=3.2.1; source=PhageHostLearn_2024_host_archive
phagehostlearn_2024_host_191KP-HG	191KP-HG	KL17	K17	Typeable	OL2α.1	O1αβ,2α	Typeable	Kaptive 3.2.1; K database=Klebsiella_k_locus_primary_reference; O database=Klebsiella_o_locus_primary_reference; host_archive_sha256=2859cfd259216608c41cfd0fda2a4a0659e17e61adf2fe856454a622e4200358; kaptive_k_sha256=21017022baf403d77c09d872b87d48221ad89c5474dd5b5ad0349b6e2234a1d0; kaptive_o_sha256=c91a41c0d4d326e972f3b3cfbe7e902e48efbc620325fb32ec80b550d19f6f89	review_status=reviewed; source_study=phagehostlearn_2024; evidence_scope=host_KO_typing; K_command=kaptive assembly Klebsiella_k_locus_primary_reference /tmp/cpg_host_typing_all/hosts/*.fasta -o /tmp/cpg_host_typing_all/kaptive/kaptive_k.tsv -j /tmp/cpg_host_typing_all/kaptive/kaptive_k.jsonl -t 8; O_command=kaptive assembly Klebsiella_o_locus_primary_reference /tmp/cpg_host_typing_all/hosts/*.fasta -o /tmp/cpg_host_typing_all/kaptive/kaptive_o.tsv -j /tmp/cpg_host_typing_all/kaptive/kaptive_o.jsonl -t 8; K_problems=?2; O_problems=NA	tool=Kaptive; tool_version=3.2.1; source=PhageHostLearn_2024_host_archive
phagehostlearn_2024_host_201KP-HG	201KP-HG	KL110	unknown (KL110)	Typeable	OL3α/β	O3αβ	Untypeable	Kaptive 3.2.1; K database=Klebsiella_k_locus_primary_reference; O database=Klebsiella_o_locus_primary_reference; host_archive_sha256=2859cfd259216608c41cfd0fda2a4a0659e17e61adf2fe856454a622e4200358; kaptive_k_sha256=21017022baf403d77c09d872b87d48221ad89c5474dd5b5ad0349b6e2234a1d0; kaptive_o_sha256=c91a41c0d4d326e972f3b3cfbe7e902e48efbc620325fb32ec80b550d19f6f89	review_status=reviewed; source_study=phagehostlearn_2024; evidence_scope=host_KO_typing; K_command=kaptive assembly Klebsiella_k_locus_primary_reference /tmp/cpg_host_typing_all/hosts/*.fasta -o /tmp/cpg_host_typing_all/kaptive/kaptive_k.tsv -j /tmp/cpg_host_typing_all/kaptive/kaptive_k.jsonl -t 8; O_command=kaptive assembly Klebsiella_o_locus_primary_reference /tmp/cpg_host_typing_all/hosts/*.fasta -o /tmp/cpg_host_typing_all/kaptive/kaptive_o.tsv -j /tmp/cpg_host_typing_all/kaptive/kaptive_o.jsonl -t 8; K_problems=?2!; O_problems=NA	tool=Kaptive; tool_version=3.2.1; source=PhageHostLearn_2024_host_archive
