system	type	sample	genome_id	host_genome_id	subtype	gene_count	genes	contig	start	end	evidence_source	notes
13_length=140567_depth=1.12x_AbiE_13	AbiE	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	AbiE	2	13_length=140567_depth=1.12x_35,13_length=140567_depth=1.12x_36	13_length=140567_depth=1.12x	13_length=140567_depth=1.12x_35	13_length=140567_depth=1.12x_36	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
6_length=335956_depth=1.09x_UG4_6	DRT-like_UG	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	UG4	1	6_length=335956_depth=1.09x_222	6_length=335956_depth=1.09x	6_length=335956_depth=1.09x_222	6_length=335956_depth=1.09x_222	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
14_length=131165_depth=0.77x_DS-16_9	DS-16	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	DS-16	2	14_length=131165_depth=0.77x_25,14_length=131165_depth=0.77x_26	14_length=131165_depth=0.77x	14_length=131165_depth=0.77x_25	14_length=131165_depth=0.77x_26	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
29_length=29674_depth=0.95x_Dpd_1	Dpd	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	Dpd	12	29_length=29674_depth=0.95x_2,29_length=29674_depth=0.95x_3,29_length=29674_depth=0.95x_4,29_length=29674_depth=0.95x_5,29_length=29674_depth=0.95x_6,29_length=29674_depth=0.95x_7,29_length=29674_depth=0.95x_8,29_length=29674_depth=0.95x_9,29_length=29674_depth=0.95x_10,29_length=29674_depth=0.95x_11,29_length=29674_depth=0.95x_12,29_length=29674_depth=0.95x_13	29_length=29674_depth=0.95x	29_length=29674_depth=0.95x_2	29_length=29674_depth=0.95x_13	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
14_length=131165_depth=0.77x_Gabija_10	Gabija	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	Gabija	2	14_length=131165_depth=0.77x_32,14_length=131165_depth=0.77x_33	14_length=131165_depth=0.77x	14_length=131165_depth=0.77x_32	14_length=131165_depth=0.77x_33	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
14_length=131165_depth=0.77x_Hachiman_11	Hachiman	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	Hachiman	2	14_length=131165_depth=0.77x_30,14_length=131165_depth=0.77x_31	14_length=131165_depth=0.77x	14_length=131165_depth=0.77x_30	14_length=131165_depth=0.77x_31	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
1_length=678279_depth=0.87x_Kiwa_2	Kiwa	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	Kiwa	2	1_length=678279_depth=0.87x_471,1_length=678279_depth=0.87x_472	1_length=678279_depth=0.87x	1_length=678279_depth=0.87x_471	1_length=678279_depth=0.87x_472	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
3_length=423838_depth=1.00x_PD-T4-3_7	PD-T4-3	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	PD-T4-3	1	3_length=423838_depth=1.00x_309	3_length=423838_depth=1.00x	3_length=423838_depth=1.00x_309	3_length=423838_depth=1.00x_309	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
1_length=678279_depth=0.87x_PD-T7-1_3	PD-T7-1	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	PD-T7-1	1	1_length=678279_depth=0.87x_131	1_length=678279_depth=0.87x	1_length=678279_depth=0.87x_131	1_length=678279_depth=0.87x_131	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
40_length=6788_depth=1.17x_DNA_met_RM_Type_II_PDDEXK_14	RM_Type_II	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	DNA_met_RM_Type_II_PDDEXK	2	40_length=6788_depth=1.17x_6,40_length=6788_depth=1.17x_7	40_length=6788_depth=1.17x	40_length=6788_depth=1.17x_6	40_length=6788_depth=1.17x_7	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
