severity	item	message
warning	Klebsiella phage Magus	Skipped record without passing sequence QC.
warning	Klebsiella phage Carindo	Skipped record without passing sequence QC.
warning	Klebsiella phage Junood_PK5	Skipped record without passing sequence QC.
warning	Klebsiella phage Junood_PK4	Skipped record without passing sequence QC.
warning	Klebsiella phage Junood_PK2	Skipped record without passing sequence QC.
warning	Klebsiella phage Junood_PK3	Skipped record without passing sequence QC.
warning	Klebsiella phage vB_Kpn_M13	Skipped record without passing sequence QC.
warning	Klebsiella phage vB_Kpn_M6	Skipped record without passing sequence QC.
warning	Klebsiella phage vB_Kpn_M5	Skipped record without passing sequence QC.
warning	Klebsiella phage vB_Kpn_6NU	Skipped record without passing sequence QC.
info	records	Loaded 107 local FASTA-backed phage-like records.
info	zip_member_records	Materialized 105 ZIP-member FASTA records into a temporary BLASTN workspace.
info	Klebsiella phage PhiKpNIH-2 vs NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_A1a	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_A1b	identity=65.358; reciprocal_min_coverage=0.859; retained_hsp_aligned_bp=433
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_A1c	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_A1d	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_A1e	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_A1f	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_A1g	identity=66.744; reciprocal_min_coverage=0.859; retained_hsp_aligned_bp=433
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_A1h	identity=66.744; reciprocal_min_coverage=0.859; retained_hsp_aligned_bp=433
