genome_id_1	genome_id_2	identity_percent	coverage_percent	method	evidence_source	notes	skani_ani	skani_af_1_to_2	skani_af_2_to_1	skani_min_af	small_genomes_preset
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1b	85.740000	56.690000	skani_triangle_small_genomes	build_skani_pairwise_similarity.py	skani skani 0.3.2; --small-genomes --full-matrix. coverage_percent is the minimum bidirectional aligned fraction from skani's AF matrix. This is an ANI/AF robustness baseline, not VIRIDIC.	85.740000	58.090000	56.690000	56.690000	true
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1c	85.450000	48.690000	skani_triangle_small_genomes	build_skani_pairwise_similarity.py	skani skani 0.3.2; --small-genomes --full-matrix. coverage_percent is the minimum bidirectional aligned fraction from skani's AF matrix. This is an ANI/AF robustness baseline, not VIRIDIC.	85.450000	48.690000	49.370000	48.690000	true
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1d	86.460000	58.930000	skani_triangle_small_genomes	build_skani_pairwise_similarity.py	skani skani 0.3.2; --small-genomes --full-matrix. coverage_percent is the minimum bidirectional aligned fraction from skani's AF matrix. This is an ANI/AF robustness baseline, not VIRIDIC.	86.460000	58.930000	59.960000	58.930000	true
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1e	88.820000	73.720000	skani_triangle_small_genomes	build_skani_pairwise_similarity.py	skani skani 0.3.2; --small-genomes --full-matrix. coverage_percent is the minimum bidirectional aligned fraction from skani's AF matrix. This is an ANI/AF robustness baseline, not VIRIDIC.	88.820000	74.300000	73.720000	73.720000	true
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1f	87.890000	67.940000	skani_triangle_small_genomes	build_skani_pairwise_similarity.py	skani skani 0.3.2; --small-genomes --full-matrix. coverage_percent is the minimum bidirectional aligned fraction from skani's AF matrix. This is an ANI/AF robustness baseline, not VIRIDIC.	87.890000	67.940000	68.490000	67.940000	true
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1g	86.670000	68.970000	skani_triangle_small_genomes	build_skani_pairwise_similarity.py	skani skani 0.3.2; --small-genomes --full-matrix. coverage_percent is the minimum bidirectional aligned fraction from skani's AF matrix. This is an ANI/AF robustness baseline, not VIRIDIC.	86.670000	69.940000	68.970000	68.970000	true
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1h	87.790000	68.600000	skani_triangle_small_genomes	build_skani_pairwise_similarity.py	skani skani 0.3.2; --small-genomes --full-matrix. coverage_percent is the minimum bidirectional aligned fraction from skani's AF matrix. This is an ANI/AF robustness baseline, not VIRIDIC.	87.790000	68.620000	68.600000	68.600000	true
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1i	87.410000	80.360000	skani_triangle_small_genomes	build_skani_pairwise_similarity.py	skani skani 0.3.2; --small-genomes --full-matrix. coverage_percent is the minimum bidirectional aligned fraction from skani's AF matrix. This is an ANI/AF robustness baseline, not VIRIDIC.	87.410000	80.970000	80.360000	80.360000	true
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1j	86.810000	73.500000	skani_triangle_small_genomes	build_skani_pairwise_similarity.py	skani skani 0.3.2; --small-genomes --full-matrix. coverage_percent is the minimum bidirectional aligned fraction from skani's AF matrix. This is an ANI/AF robustness baseline, not VIRIDIC.	86.810000	74.580000	73.500000	73.500000	true
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1k	87.250000	83.970000	skani_triangle_small_genomes	build_skani_pairwise_similarity.py	skani skani 0.3.2; --small-genomes --full-matrix. coverage_percent is the minimum bidirectional aligned fraction from skani's AF matrix. This is an ANI/AF robustness baseline, not VIRIDIC.	87.250000	83.970000	84.450000	83.970000	true
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1l	87.510000	83.410000	skani_triangle_small_genomes	build_skani_pairwise_similarity.py	skani skani 0.3.2; --small-genomes --full-matrix. coverage_percent is the minimum bidirectional aligned fraction from skani's AF matrix. This is an ANI/AF robustness baseline, not VIRIDIC.	87.510000	83.410000	83.630000	83.410000	true
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1m	87.010000	79.310000	skani_triangle_small_genomes	build_skani_pairwise_similarity.py	skani skani 0.3.2; --small-genomes --full-matrix. coverage_percent is the minimum bidirectional aligned fraction from skani's AF matrix. This is an ANI/AF robustness baseline, not VIRIDIC.	87.010000	79.730000	79.310000	79.310000	true
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1n	87.110000	76.420000	skani_triangle_small_genomes	build_skani_pairwise_similarity.py	skani skani 0.3.2; --small-genomes --full-matrix. coverage_percent is the minimum bidirectional aligned fraction from skani's AF matrix. This is an ANI/AF robustness baseline, not VIRIDIC.	87.110000	76.420000	76.570000	76.420000	true
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1o	87.370000	82.330000	skani_triangle_small_genomes	build_skani_pairwise_similarity.py	skani skani 0.3.2; --small-genomes --full-matrix. coverage_percent is the minimum bidirectional aligned fraction from skani's AF matrix. This is an ANI/AF robustness baseline, not VIRIDIC.	87.370000	82.330000	83.740000	82.330000	true
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1p	87.110000	75.150000	skani_triangle_small_genomes	build_skani_pairwise_similarity.py	skani skani 0.3.2; --small-genomes --full-matrix. coverage_percent is the minimum bidirectional aligned fraction from skani's AF matrix. This is an ANI/AF robustness baseline, not VIRIDIC.	87.110000	76.790000	75.150000	75.150000	true
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1q	86.820000	82.070000	skani_triangle_small_genomes	build_skani_pairwise_similarity.py	skani skani 0.3.2; --small-genomes --full-matrix. coverage_percent is the minimum bidirectional aligned fraction from skani's AF matrix. This is an ANI/AF robustness baseline, not VIRIDIC.	86.820000	84.750000	82.070000	82.070000	true
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1r	86.670000	78.090000	skani_triangle_small_genomes	build_skani_pairwise_similarity.py	skani skani 0.3.2; --small-genomes --full-matrix. coverage_percent is the minimum bidirectional aligned fraction from skani's AF matrix. This is an ANI/AF robustness baseline, not VIRIDIC.	86.670000	78.130000	78.090000	78.090000	true
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A2a	0.000000	0.000000	skani_triangle_small_genomes	build_skani_pairwise_similarity.py	skani skani 0.3.2; --small-genomes --full-matrix. coverage_percent is the minimum bidirectional aligned fraction from skani's AF matrix. This is an ANI/AF robustness baseline, not VIRIDIC.	0.000000	0.000000	0.000000	0.000000	true
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A2a_b	0.000000	0.000000	skani_triangle_small_genomes	build_skani_pairwise_similarity.py	skani skani 0.3.2; --small-genomes --full-matrix. coverage_percent is the minimum bidirectional aligned fraction from skani's AF matrix. This is an ANI/AF robustness baseline, not VIRIDIC.	0.000000	0.000000	0.000000	0.000000	true
