genome_id_1	genome_id_2	identity_percent	coverage_percent	method	evidence_source	notes	aligned_fragments	total_fragments
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1b	84.974000	71.428571	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	10	14
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1c	83.824900	78.571429	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	11	14
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1d	84.563800	71.428571	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	10	14
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1e	86.221800	92.857143	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	13	14
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1f	86.285700	92.857143	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	13	14
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1g	84.290900	92.857143	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	13	14
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1h	86.309800	92.857143	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	13	14
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1i	85.260500	92.857143	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	13	14
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1j	85.356900	85.714286	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	12	14
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1k	85.132000	85.714286	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	12	14
