annotation_gene_id	domain_id	domain_name	start_aa	end_aa	evalue	evidence_source	notes
phagehostlearn_2024_phage_A1a|prodigal_00006	phrog_11393	tail fiber protein	2	256	1.043E-91	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=301; qcov=0.831; tcov=0.461; pident=34.700
phagehostlearn_2024_phage_A1a|prodigal_00006	phrog_2710	tail fiber protein	1	304	1.999E-102	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=332; qcov=0.990; tcov=0.990; pident=78.600
phagehostlearn_2024_phage_A1b|prodigal_00040	phrog_11393	tail fiber protein	2	276	1.030E-87	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=290; qcov=0.865; tcov=0.479; pident=31.900
phagehostlearn_2024_phage_A1b|prodigal_00040	phrog_26630	tail fiber protein	1	142	4.281E-13	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=70; qcov=0.447; tcov=0.349; pident=27.500
phagehostlearn_2024_phage_A1b|prodigal_00040	phrog_2710	tail fiber protein	1	315	1.315E-103	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=336; qcov=0.991; tcov=0.990; pident=77.100
phagehostlearn_2024_phage_A1b|prodigal_00048	phrog_17640	tail fiber protein	9	84	2.842E-14	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=76; qcov=0.127; tcov=0.462; pident=47.300
phagehostlearn_2024_phage_A1b|prodigal_00048	phrog_9532	tail fiber protein	7	98	3.422E-15	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=79; qcov=0.153; tcov=0.116; pident=51.000
phagehostlearn_2024_phage_A1c|prodigal_00035	phrog_18512	tail fiber protein	1	651	0.000E+00	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=1131; qcov=1.000; tcov=1.000; pident=96.100
phagehostlearn_2024_phage_A1c|prodigal_00043	phrog_11393	tail fiber protein	2	267	1.678E-81	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=272; qcov=0.836; tcov=0.461; pident=28.500
phagehostlearn_2024_phage_A1c|prodigal_00043	phrog_2710	tail fiber protein	1	317	3.236E-111	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=358; qcov=0.997; tcov=0.997; pident=69.400
phagehostlearn_2024_phage_A1c|prodigal_00043	phrog_6953	tail fiber protein	29	137	7.661E-06	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=47; qcov=0.343; tcov=0.480; pident=30.900
phagehostlearn_2024_phage_A1d|prodigal_00009	phrog_11393	tail fiber protein	2	141	2.198E-44	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=175; qcov=0.169; tcov=0.285; pident=26.500
phagehostlearn_2024_phage_A1d|prodigal_00009	phrog_2710	tail fiber protein	1	162	5.249E-45	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=177; qcov=0.196; tcov=0.524; pident=67.200
phagehostlearn_2024_phage_A1e|prodigal_00013	phrog_9823	tail fiber protein	19	580	1.381E-70	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=251; qcov=0.962; tcov=0.776; pident=9.800
phagehostlearn_2024_phage_A1e|prodigal_00021	phrog_11393	tail fiber protein	2	256	4.507E-83	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=276; qcov=0.831; tcov=0.461; pident=30.100
phagehostlearn_2024_phage_A1e|prodigal_00021	phrog_2710	tail fiber protein	1	305	1.851E-112	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=361; qcov=0.993; tcov=0.993; pident=75.700
phagehostlearn_2024_phage_A1e|prodigal_00021	phrog_6953	tail fiber protein	29	100	7.155E-06	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=47; qcov=0.235; tcov=0.320; pident=33.300
phagehostlearn_2024_phage_A1f|prodigal_00013	phrog_9823	tail fiber protein	19	580	1.381E-70	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=251; qcov=0.962; tcov=0.776; pident=9.800
phagehostlearn_2024_phage_A1f|prodigal_00021	phrog_11393	tail fiber protein	2	256	4.507E-83	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=276; qcov=0.831; tcov=0.461; pident=30.100
phagehostlearn_2024_phage_A1f|prodigal_00021	phrog_2710	tail fiber protein	1	305	1.851E-112	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=361; qcov=0.993; tcov=0.993; pident=75.700
phagehostlearn_2024_phage_A1f|prodigal_00021	phrog_6953	tail fiber protein	29	100	7.155E-06	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=47; qcov=0.235; tcov=0.320; pident=33.300
phagehostlearn_2024_phage_A1g|prodigal_00049	phrog_11393	tail fiber protein	2	301	6.996E-83	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=276; qcov=0.943; tcov=0.521; pident=29.300
phagehostlearn_2024_phage_A1g|prodigal_00049	phrog_2710	tail fiber protein	1	318	2.282E-115	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=370; qcov=1.000; tcov=1.000; pident=71.300
phagehostlearn_2024_phage_A1g|prodigal_00049	phrog_6953	tail fiber protein	29	100	3.738E-06	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=48; qcov=0.226; tcov=0.320; pident=33.300
phagehostlearn_2024_phage_A1h|prodigal_00013	phrog_11393	tail fiber protein	2	261	7.492E-75	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=271; qcov=0.307; tcov=0.452; pident=29.900
phagehostlearn_2024_phage_A1h|prodigal_00013	phrog_2710	tail fiber protein	1	288	1.168E-85	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=304; qcov=0.340; tcov=0.902; pident=59.800
phagehostlearn_2024_phage_A1i|prodigal_00041	phrog_11393	tail fiber protein	2	261	1.497E-73	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=267; qcov=0.307; tcov=0.452; pident=29.900
phagehostlearn_2024_phage_A1i|prodigal_00041	phrog_26630	tail fiber protein	1	142	6.672E-12	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=69; qcov=0.167; tcov=0.349; pident=27.500
phagehostlearn_2024_phage_A1i|prodigal_00041	phrog_2710	tail fiber protein	1	288	5.319E-85	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=302; qcov=0.340; tcov=0.902; pident=60.200
phagehostlearn_2024_phage_A1i|prodigal_00049	phrog_16586	tail fiber protein	4	395	3.059E-27	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=119; qcov=0.519; tcov=0.382; pident=26.100
phagehostlearn_2024_phage_A1j|prodigal_00041	phrog_16586	tail fiber protein	4	395	1.255E-26	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=117; qcov=0.519; tcov=0.382; pident=26.400
phagehostlearn_2024_phage_A1j|prodigal_00050	phrog_11393	tail fiber protein	2	261	6.273E-73	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=264; qcov=0.326; tcov=0.452; pident=29.900
phagehostlearn_2024_phage_A1j|prodigal_00050	phrog_2710	tail fiber protein	1	269	4.095E-84	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=298; qcov=0.337; tcov=0.844; pident=64.400
phagehostlearn_2024_phage_A1k|prodigal_00015	phrog_11393	tail fiber protein	2	250	1.983E-71	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=259; qcov=0.319; tcov=0.452; pident=30.400
phagehostlearn_2024_phage_A1k|prodigal_00015	phrog_2710	tail fiber protein	1	277	2.626E-80	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=286; qcov=0.355; tcov=0.909; pident=60.500
phagehostlearn_2024_phage_A1k|prodigal_00015	phrog_6518	tail fiber protein	289	780	7.579E-139	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=460; qcov=0.631; tcov=1.000; pident=57.600
phagehostlearn_2024_phage_A1l|prodigal_00001	phrog_11393	tail fiber protein	2	250	1.088E-74	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=258; qcov=0.558; tcov=0.452; pident=30.400
phagehostlearn_2024_phage_A1l|prodigal_00001	phrog_2710	tail fiber protein	1	277	1.333E-84	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=287; qcov=0.621; tcov=0.909; pident=59.800
phagehostlearn_2024_phage_A1l|prodigal_00001	phrog_6518	tail fiber protein	289	444	6.214E-43	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=164; qcov=0.350; tcov=0.314; pident=58.900
phagehostlearn_2024_phage_A1l|prodigal_00058	phrog_6518	tail fiber protein	1	333	3.535E-89	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=295; qcov=1.000; tcov=0.680; pident=57.000
phagehostlearn_2024_phage_A1m|prodigal_00049	phrog_11393	tail fiber protein	2	250	4.212E-71	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=258; qcov=0.319; tcov=0.452; pident=30.400
phagehostlearn_2024_phage_A1m|prodigal_00049	phrog_2710	tail fiber protein	1	277	1.227E-80	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=287; qcov=0.355; tcov=0.909; pident=59.800
phagehostlearn_2024_phage_A1m|prodigal_00049	phrog_6518	tail fiber protein	289	780	8.745E-136	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=451; qcov=0.631; tcov=1.000; pident=58.400
phagehostlearn_2024_phage_A1n|prodigal_00054	phrog_11393	tail fiber protein	2	250	2.749E-71	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=258; qcov=0.329; tcov=0.452; pident=30.400
phagehostlearn_2024_phage_A1n|prodigal_00054	phrog_2710	tail fiber protein	1	264	1.596E-80	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=286; qcov=0.349; tcov=0.863; pident=61.500
phagehostlearn_2024_phage_A1n|prodigal_00054	phrog_6518	tail fiber protein	289	756	5.438E-130	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=433; qcov=0.619; tcov=0.951; pident=56.800
phagehostlearn_2024_phage_A1o|prodigal_00045	phrog_11393	tail fiber protein	2	250	1.983E-71	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=259; qcov=0.319; tcov=0.452; pident=30.400
phagehostlearn_2024_phage_A1o|prodigal_00045	phrog_2710	tail fiber protein	1	277	2.626E-80	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=286; qcov=0.355; tcov=0.909; pident=60.500
phagehostlearn_2024_phage_A1o|prodigal_00045	phrog_6518	tail fiber protein	289	780	8.343E-137	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=454; qcov=0.631; tcov=1.000; pident=57.400
phagehostlearn_2024_phage_A1p|prodigal_00059	phrog_11393	tail fiber protein	2	250	3.883E-71	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=257; qcov=0.339; tcov=0.452; pident=30.400
phagehostlearn_2024_phage_A1p|prodigal_00059	phrog_2710	tail fiber protein	1	277	4.573E-80	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=284; qcov=0.377; tcov=0.909; pident=60.500
phagehostlearn_2024_phage_A1p|prodigal_00059	phrog_6518	tail fiber protein	289	732	1.722E-123	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=413; qcov=0.605; tcov=0.902; pident=56.700
phagehostlearn_2024_phage_A1q|prodigal_00009	phrog_19988	tail spike protein	7	267	4.580E-32	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=126; qcov=0.953; tcov=0.455; pident=23.000
phagehostlearn_2024_phage_A1q|prodigal_00010	phrog_19988	tail spike protein	65	310	1.270E-74	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=252; qcov=0.776; tcov=0.427; pident=45.700
phagehostlearn_2024_phage_A1q|prodigal_00019	phrog_11393	tail fiber protein	2	261	6.008E-75	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=270; qcov=0.329; tcov=0.452; pident=29.500
